Tue Sep 18 12:21:05 PDT 2012
Timestamp, DB min, DB max, DB current, DB used, Core Threads, Active Threads, Queue Tasks, Completed Tasks, Sessions, NIO Read, NIO Written, Queued NIO events, Queues NIO writes
1347999310493,5,25,4,1,17,0,0,0,1,0,0,0,0
1347999315493,5,25,4,1,17,0,0,0,1,0,0,0,0
1347999320493,5,25,5,0,17,0,0,0,1,0,0,0,0
1347999325493,5,25,5,0,17,0,0,0,1,0,0,0,0
1347999330493,5,25,5,0,17,0,0,0,1,0,0,0,0
1347999335493,5,25,5,0,17,0,0,0,1,0,0,0,0
1347999340493,5,25,5,0,17,0,0,0,1,0,0,0,0
1347999345493,5,25,5,0,17,0,0,0,1,0,0,0,0
1347999350493,5,25,5,0,17,0,0,0,1,0,0,0,0
1347999355493,5,25,5,0,17,0,0,0,1,0,0,0,0
1347999360493,5,25,5,0,17,0,0,0,1,0,0,0,0
1347999365493,5,25,4,1,17,0,0,0,1,0,0,0,0
1347999370493,5,25,4,1,17,0,0,0,1,0,0,0,0
1347999375493,5,25,4,1,17,0,0,0,1,0,0,0,0
1347999380493,5,25,5,0,17,0,0,0,1,0,0,0,0
1347999385493,5,25,5,0,17,0,0,0,1,0,0,0,0
1347999390493,5,25,5,0,17,0,0,0,1,0,0,0,0
1347999395493,5,25,5,0,17,0,0,0,1,0,0,0,0
1347999400493,5,25,5,0,17,0,0,0,1,0,0,0,0
1347999405493,5,25,5,0,17,0,0,0,1,0,0,0,0
1347999410493,5,25,5,0,17,0,0,0,1,0,0,0,0
1347999415493,5,25,5,0,17,0,0,0,1,0,0,0,0
1347999420493,5,25,5,0,17,0,0,0,1,0,0,0,0
1347999425493,5,25,4,1,17,0,0,0,1,0,0,0,0
1347999430493,5,25,4,1,17,0,0,0,1,0,0,0,0
1347999435493,5,25,4,1,17,0,0,0,1,0,0,0,0
1347999440493,5,25,5,0,17,0,0,0,1,0,0,0,0
1347999445493,5,25,5,0,17,0,0,0,1,0,0,0,0
1347999450493,5,25,5,0,17,0,0,0,1,0,0,0,0
1347999455493,5,25,5,0,17,0,0,0,1,0,0,0,0
1347999460493,5,25,5,0,17,0,0,0,1,0,0,0,0
